City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Cidreira,BR,2021-12-11 20:55:00,-30.1811,-50.2056,70.59,70,6,8.88
229,Bathsheba,BB,2021-12-11 20:55:01,13.2167,-59.5167,81.21,74,40,18.41
230,Pridonskoy,RU,2021-12-11 20:56:01,51.6841,39.0727,28.96,100,90,11.18
231,Pevek,RU,2021-12-11 20:56:01,69.7008,170.3133,-32.93,100,85,6.13
232,Lundazi,ZM,2021-12-11 20:56:02,-12.2929,33.1782,69.71,55,2,7.47
233,Kudahuvadhoo,MV,2021-12-11 20:56:02,2.6708,72.8944,80.47,79,78,15.19
234,Abu Dhabi,AE,2021-12-11 20:56:02,24.4667,54.3667,73.96,66,20,5.75
235,Panguna,PG,2021-12-11 20:56:03,-6.3164,155.4848,75.81,75,94,2.51
236,Rundu,NA,2021-12-11 20:56:03,-17.9333,19.7667,70.34,75,99,3.76
237,Hobyo,SO,2021-12-11 20:56:03,5.3505,48.5268,78.48,81,12,17.65
238,Thinadhoo,MV,2021-12-11 20:56:03,0.5333,72.9333,80.92,76,57,5.79
239,Waingapu,ID,2021-12-11 20:56:04,-9.6567,120.2641,79.23,86,93,4.61
240,Mao,ES,2021-12-11 20:56:04,39.8885,4.2658,52.36,50,20,17.27
241,Bertoua,CM,2021-12-11 20:56:04,4.5833,13.6833,73.72,35,76,2.98
242,Havoysund,NO,2021-12-11 20:56:05,70.9963,24.6622,27.48,81,95,9.17
243,Izhma,RU,2021-12-11 20:56:05,65.0083,53.9113,18.64,78,100,10.18
244,Langsa,ID,2021-12-11 20:56:05,4.4683,97.9683,73.35,96,75,2.62
245,Cap-Chat,CA,2021-12-11 20:56:06,49.1001,-66.6821,28.4,93,100,12.66
246,Tabuny,RU,2021-12-11 20:56:06,52.7773,78.7896,7.09,90,100,5.3
247,Inhambane,MZ,2021-12-11 20:56:06,-23.865,35.3833,77.49,89,54,10.22
248,Fare,PF,2021-12-11 20:56:07,-16.7,-151.0167,80.91,72,7,11.3
249,Road Town,VG,2021-12-11 20:54:46,18.4167,-64.6167,82.44,74,40,18.41
250,Namibe,AO,2021-12-11 20:54:18,-15.1961,12.1522,71.44,76,72,5.19
251,Saint-Joseph,RE,2021-12-11 20:56:07,-21.3667,55.6167,77.36,80,85,8.14
252,Ola,RU,2021-12-11 20:56:07,59.5833,151.2833,12.72,83,100,11.97
253,Meulaboh,ID,2021-12-11 20:56:08,4.1363,96.1285,76.12,92,83,4.29
254,Rock Sound,BS,2021-12-11 20:56:08,24.9,-76.2,78.66,69,10,16.13
255,Lorengau,PG,2021-12-11 20:56:08,-2.0226,147.2712,81.75,84,100,16.17
256,Tabou,CI,2021-12-11 20:56:09,4.423,-7.3528,80.26,81,95,8.97
257,Sabirabad,AZ,2021-12-11 20:56:09,40.0095,48.4752,41.99,77,96,7.29
258,Dubna,RU,2021-12-11 20:56:09,56.7333,37.1667,11.86,89,96,6.87
259,Hasaki,JP,2021-12-11 20:56:10,35.7333,140.8333,39.6,64,57,9.06
260,Zorritos,PE,2021-12-11 20:56:10,-3.6805,-80.6782,77.29,83,100,6.91
261,Bubaque,GW,2021-12-11 20:56:10,11.2833,-15.8333,81.72,73,65,11.05
262,Solnechnyy,RU,2021-12-11 20:56:10,50.7214,136.6319,14.2,95,100,3.27
263,Camocim,BR,2021-12-11 20:56:11,-2.9022,-40.8411,82.74,71,6,18.28
264,Khandyga,RU,2021-12-11 20:56:11,62.6667,135.6,-34.08,100,86,2.51
265,Port-Gentil,GA,2021-12-11 20:56:11,-0.7193,8.7815,77.27,92,100,14.41
266,Makow Mazowiecki,PL,2021-12-11 20:56:12,52.8649,21.1005,35.85,88,100,5.28
267,Sungaipenuh,ID,2021-12-11 20:56:12,-2.0833,101.3833,64.13,97,100,2.42
268,Gejiu,CN,2021-12-11 20:56:12,23.306,103.1635,46.99,95,96,3.94
269,Half Moon Bay,US,2021-12-11 20:56:13,37.4636,-122.4286,61.11,64,1,5.75
270,Saint-Augustin,CA,2021-12-11 20:56:13,51.226,-58.6502,24.51,56,80,6.62
271,La Ronge,CA,2021-12-11 20:56:13,55.1001,-105.2842,16.05,86,90,6.91
272,Hervey Bay,AU,2021-12-11 20:56:14,-25.2986,152.8535,79.03,67,5,17.78
273,Shingu,JP,2021-12-11 20:56:14,33.7333,135.9833,50.61,79,27,5.84
274,Capitao Poco,BR,2021-12-11 20:56:14,-1.7464,-47.0594,80.87,74,69,5.3
275,Miguel Hidalgo,MX,2021-12-11 20:57:15,19.4225,-99.2028,72.59,24,59,4.0
276,Kodiak,US,2021-12-11 20:57:15,57.79,-152.4072,17.28,72,0,30.24
