City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Palmer,US,63.73,overcast clouds,42.1584,-72.3287,Wedgewood Motel
364,Aswan,EG,69.6,overcast clouds,24.0934,32.907,Nuba Nile
365,Alcaniz,ES,57.43,scattered clouds,41.05,-0.1333,Hotel Ciudad de Alcañiz
366,Port Hueneme,US,60.62,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
367,Vestmannaeyjar,IS,44.6,overcast clouds,63.4427,-20.2734,Glamping & Camping
368,Liuzhou,CN,62.44,overcast clouds,24.3126,109.3892,Linjiang Inn
369,Ambilobe,MG,68.92,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
371,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
374,Ancud,CL,49.53,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
375,Hasaki,JP,59.4,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
376,Bengkulu,ID,74.73,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
380,Nagato,JP,60.75,few clouds,34.3833,131.2,いそう庵
381,Mana,GF,77.47,light rain,5.6592,-53.7767,LE SAMANA
384,Matara,LK,77.34,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
385,Azangaro,PE,48.87,overcast clouds,-14.9167,-70.2167,Hotel Miraflores Azangaro
387,Carutapera,BR,78.93,scattered clouds,-1.195,-46.02,Lidera
388,Denia,ES,61.84,clear sky,38.8408,0.1057,Hotel Port Dénia
389,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
391,San Pedro,PH,83.43,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
393,Arona,ES,60.73,few clouds,28.0996,-16.681,Paradise Court
395,Baragua,CU,72.41,clear sky,21.6967,-78.6328,Hotel Itabo
397,Oneida,US,44.58,overcast clouds,43.2001,-75.4663,Wingate By Wyndham Rome
398,Sinnamary,GF,77.45,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
400,Dunedin,NZ,56.79,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
401,Wilmington,US,69.98,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
404,San Patricio,US,57.83,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
405,Sokoni,TZ,78.66,light rain,-6.4333,39.55,Ujamaa Beach Resort
406,San Carlos De Bariloche,AR,44.35,broken clouds,-41.1456,-71.3082,Hotel Patagonia
407,Northam,GB,55.38,overcast clouds,51.0333,-4.2167,Durrant House Hotel
408,North Bend,US,49.91,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
409,Salinopolis,BR,80.8,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
410,Port Blair,IN,82.38,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
411,Sibolga,ID,82.81,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
416,Ilhabela,BR,72.14,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
418,Poum,NC,81.68,overcast clouds,-20.2333,164.0167,Gîte kajeon
421,Tabas,IR,51.08,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
422,Celestun,MX,80.1,overcast clouds,20.8667,-90.4,Posada Lilia
424,Alta Floresta,BR,72.52,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
425,Saint-Joseph,RE,75.56,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
426,Mecca,SA,72.1,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
427,Taltal,CL,63.59,clear sky,-25.4,-70.4833,Residencial Karime
428,Westminster,US,43.36,scattered clouds,39.8367,-105.0372,Hampton Inn Denver-Northwest/Westminster
429,Vila Franca Do Campo,PT,65.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
430,Loralai,PK,40.82,scattered clouds,30.3705,68.598,Saddam Hotel & Resturant
432,Nassau,US,66.74,overcast clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
433,San Cristobal,VE,69.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
435,Kahului,US,81.66,few clouds,20.8947,-156.47,Maui Seaside Hotel
437,Pacific Grove,US,51.48,clear sky,36.6177,-121.9166,Lovers Point Inn
441,Conceicao Do Araguaia,BR,75.06,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
442,Brandon,US,73.36,clear sky,27.9378,-82.2859,Brandon Motor Lodge
443,Eydhafushi,MV,81.05,overcast clouds,5.1033,73.0708,Soneva Fushi
444,Huarmey,PE,68.11,scattered clouds,-10.0681,-78.1522,Hotel Miramar
446,Padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
449,Daru,PG,86.97,overcast clouds,-9.0763,143.2092,Daru Lodge
452,Kibungo,RW,63.52,light rain,-2.1597,30.5427,Kibungo - Centre St. Joseph Guest House
453,Azul,AR,73.35,broken clouds,-36.777,-59.8585,Cabañas Dulcinea
454,Salta,AR,71.89,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
